from_user,user_followers_count,user_friends_count,retweet,tweet
taniaafrancoo12,14,142,True,False
daannyfg,10,76,True,False
vere77franco,24,145,True,False
PARLASUR,44696,979,False,True
francoaaana77,6,233,True,False
ingridd44serra1,23,156,True,False
blancagomezint,157,339,True,False
drotorrent,2473,3056,False,True
DemospazUAM,1059,598,True,False
EAPNGalicia,2394,409,True,False
anguebus,1676,4934,True,False
cchartierd,8,38,False,True
carlosromerodex,1805,709,True,False
ReyesCastilloEU,387,561,True,False
Selphinia,938,324,False,True
JavierToscanoE,621,1267,True,False
DircomCAN,509,271,True,False
LeonardoIzquie8,777,396,True,False
NaturayCultura2,1257,902,False,True
prendho,4779,1912,True,False
liberfg,450,1340,True,False
InvestigaUtpl,1886,609,False,True
CerveceraCAN,1619,314,True,False
Corresponsables,29078,177,False,True
Corresponsables,29078,177,False,True
Candycandileja1,18,65,True,False
ecuacion2010,1385,1387,True,False
danysanchezpy,2914,2182,True,False
abgjuanfeza,135,72,True,False
NaturayCultura2,1257,902,False,True
CityScientists,851,554,True,False
DircomCAN,509,271,True,False
cncuvenezuelau1,143,78,True,False
cncuvenezuelau1,143,78,True,False
SityConsultores,1202,803,True,False
MTESS_PY,20412,409,False,True
peportilla,483,302,True,False
IARSE,15759,9320,False,True
anacorcanarias,612,490,True,False
Red_REJIES,293,270,True,False
FundacionCepaim,6530,1110,False,True
CerveceraCAN,1619,314,True,False
Corresponsables,29078,177,False,True
Corresponsables,29078,177,False,True
saburtomh,1276,788,True,False
AMIQinnova,693,148,True,False
EcoHuella_com,614,241,False,True
jesusdelaosa,3418,2877,True,False
jesusdelaosa,3418,2877,True,False
jesusdelaosa,3418,2877,True,False
jesusdelaosa,3417,2876,True,False
jesusdelaosa,3417,2876,True,False
PaquiGodinoRoca,338,421,False,True
EAsempervirens,2267,1913,True,False
rubenborrega,143,361,True,False
PabloTuits,1143,167,True,False
EAsempervirens,2267,1913,True,False
andymore87,188,861,True,False
Edu_Ambiental,3739,780,True,False
pamquibec,5357,1758,True,False
Edu_Ambiental,3739,780,True,False
Edu_Ambiental,3739,780,True,False
FFFSalamanca,317,134,False,True
Edu_Ambiental,3739,780,True,False
pablolabajos_ma,115,158,True,False
Aurora1Aurora,1520,1696,False,True
Edu_Ambiental,3739,780,True,False
Edu_Ambiental,3739,780,True,False
pablolabajos_ma,115,158,True,False
iagobueno,316,740,True,False
jesusdelaosa,3417,2876,True,False
jesusdelaosa,3417,2876,True,False
rubenborrega,143,361,False,True
M_ProgresistaMX,4559,4933,True,False
CREAndalucia,4169,296,True,False
jesusdelaosa,3417,2876,True,False
beambif,6342,4445,False,True
PactoMundialMex,3658,874,False,True
marthadelgado,19165,5901,False,True
Edu_Ambiental,3739,780,False,True
chidambara09,4744,13,True,False
beambif,6342,4445,False,True
leireluengo,465,564,True,False
mrplanviajes,243,456,True,False
mjmolram,575,416,False,True
Edu_Ambiental,3739,780,True,False
SusanaMangana,6248,456,True,False
Edu_Ambiental,3739,780,True,False
Edu_Ambiental,3739,780,True,False
iagobueno,316,740,False,True
Edu_Ambiental,3739,780,True,False
DircomCAN,508,271,True,False
PaquiGodinoRoca,338,421,False,True
beambif,6342,4445,False,True
Metropoliscomu,640,437,False,True
bibliodonihue,1034,283,False,True
drotorrent,2473,3056,False,True
lilichcordova,253,211,True,False
rubenborrega,143,361,False,True
IARSE,15758,9320,False,True
pablolabajos_ma,115,158,False,True
LeireSanJose,353,1003,True,False
EAsempervirens,2267,1913,True,False
eigonvic,46,177,True,False
EAsempervirens,2267,1913,True,False
MarcaconValores,2005,1191,True,False
EAsempervirens,2267,1913,True,False
EAsempervirens,2267,1913,True,False
GEAccounting,145,284,False,True
EAsempervirens,2267,1913,True,False
jairoalneira,337,833,True,False
AliciaAliaga57,133,303,True,False
EAsempervirens,2267,1913,True,False
iagobueno,316,740,True,False
21gramos_net,1218,725,True,False
EAsempervirens,2267,1913,True,False
EAsempervirens,2267,1913,True,False
drotorrent,2473,3056,False,True
MiriamLeiros,5591,5209,True,False
fmorcillo,3532,2339,False,True
denisecangelos1,244,258,False,True
ionaro,229,160,True,False
AliciaAliaga57,133,303,True,False
AlQuintanilla,357,403,False,True
edujeszgz,1839,1544,True,False
mjmolram,575,416,False,True
edujeszgz,1839,1544,True,False
jareyme,1138,1404,True,False
beambif,6342,4445,True,False
GEAccounting,145,284,False,True
JosechuFT,1921,1898,False,True
ANDIHonduras,5969,671,False,True
edujeszgz,1839,1544,True,False
b_trilles,23,51,True,False
beambif,6342,4445,False,True
AliciaAliaga57,133,303,True,False
EAPNEXTREMADURA,915,459,True,False
AliciaAliaga57,133,303,True,False
maribelcacere20,41,93,True,False
Corresponsables,29077,176,False,True
MiriamLeiros,5591,5209,True,False
drotorrent,2473,3056,False,True
reverdeconcausa,1633,644,False,True
PaquiGodinoRoca,338,421,False,True
drotorrent,2473,3056,False,True
reverdeconcausa,1633,644,False,True
SAGULPA_,1773,408,True,False
pablolabajos_ma,115,158,True,False
FJCarrilloGF,8,31,True,False
IARSE,15758,9320,True,False
drotorrent,2473,3056,False,True
beambif,6342,4445,False,True
STecnicaCoah,1318,307,True,False
Edu_Ambiental,3739,780,True,False
Edu_Ambiental,3739,780,True,False
Edu_Ambiental,3739,780,True,False
EAsempervirens,2267,1913,True,False
pepenbici,508,1098,True,False
EAsempervirens,2267,1913,True,False
EAsempervirens,2267,1913,True,False
beambif,6342,4445,False,True
EAsempervirens,2267,1913,True,False
EAsempervirens,2267,1913,True,False
NuevosRetosEA,1092,701,True,False
EAsempervirens,2267,1913,True,False
agus_donnet,374,292,True,False
juanmanfredi,6817,776,True,False
rubenborrega,143,361,False,True
pdguerriero,171,899,True,False
maribelcacere20,41,93,True,False
EAPNGalicia,2394,409,True,False
CerveceraCAN,1619,314,True,False
PaquiGodinoRoca,338,421,False,True
MarianoPinedo,6559,3529,True,False
rubenborrega,143,361,True,False
rubenborrega,143,361,True,False
PaquiGodinoRoca,338,421,False,True
drotorrent,2473,3056,False,True
Plademunt,1353,1237,True,False
plenaextremadur,2280,1610,False,True
snjv08,697,482,True,False
DircomCAN,508,271,True,False
Mireia_Gargallo,1288,692,False,True
Corresponsables,29077,176,False,True
LauraJuarezH,418,270,True,False
TamiFarre,1156,1193,False,True
iagobueno,316,740,True,False
reverdeconcausa,1633,644,False,True
UM_oaxaca,610,194,True,False
drotorrent,2473,3056,False,True
CruzRojaCorrHen,751,573,False,True
AlQuintanilla,357,403,False,True
EAsempervirens,2267,1913,True,False
martamuelas,826,1391,True,False
drotorrent,2473,3056,True,False
